STARTTRAVELDATE,STARTREGION,ENDREGION,NUMVISITS
2016-03-01 05:00:00,CHANGI_0,BUKIT MERAH_0,3
2016-03-01 05:00:00,CHANGI_0,BUKIT PANJANG_0,2
2016-03-01 05:00:00,CHANGI_0,DOWNTOWN CORE_0,1
2016-03-01 05:00:00,CHANGI_0,GEYLANG_0,8
2016-03-01 05:00:00,CHANGI_0,JURONG EAST_2,2
2016-03-01 05:00:00,CHANGI_0,JURONG WEST_0,12
2016-03-01 05:00:00,CHANGI_0,KALLANG_0,2
2016-03-01 05:00:00,CHANGI_0,PASIR RIS_1,2
2016-03-01 05:00:00,CHANGI_0,PIONEER_0,2
2016-03-01 05:00:00,CHANGI_0,QUEENSTOWN_0,5
2016-03-01 05:00:00,CHANGI_0,ROCHOR_0,1
2016-03-01 05:00:00,CHANGI_0,SEMBAWANG_0,3
2016-03-01 05:00:00,CHANGI_0,SENGKANG_0,2
2016-03-01 05:00:00,CHANGI_0,SERANGOON_0,1
2016-03-01 05:00:00,CHANGI_0,SUNGEI KADUT_0,1
2016-03-01 05:00:00,CHANGI_0,TAMPINES_0,1
2016-03-01 05:00:00,CHANGI_0,TOA PAYOH_0,1
2016-03-01 05:00:00,CHANGI_0,WOODLANDS_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,ANG MO KIO_0,3
2016-03-01 05:00:00,CHOA CHU KANG_0,BEDOK_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,BISHAN_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,BUKIT BATOK_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,BUKIT MERAH_0,4
2016-03-01 05:00:00,CHOA CHU KANG_0,BUKIT PANJANG_0,10
2016-03-01 05:00:00,CHOA CHU KANG_0,CHOA CHU KANG_0,5
2016-03-01 05:00:00,CHOA CHU KANG_0,CLEMENTI_0,8
2016-03-01 05:00:00,CHOA CHU KANG_0,DOWNTOWN CORE_0,10
2016-03-01 05:00:00,CHOA CHU KANG_0,GEYLANG_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,HOUGANG_0,1
2016-03-01 05:00:00,CHOA CHU KANG_0,JURONG EAST_2,10
2016-03-01 05:00:00,CHOA CHU KANG_0,JURONG WEST_0,18
2016-03-01 05:00:00,CHOA CHU KANG_0,ORCHARD_0,1
2016-03-01 05:00:00,CHOA CHU KANG_0,OUTRAM_0,6
2016-03-01 05:00:00,CHOA CHU KANG_0,PIONEER_0,6
2016-03-01 05:00:00,CHOA CHU KANG_0,QUEENSTOWN_0,10
2016-03-01 05:00:00,CHOA CHU KANG_0,SERANGOON_0,1
2016-03-01 05:00:00,CHOA CHU KANG_0,SUNGEI KADUT_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,TOA PAYOH_0,2
2016-03-01 05:00:00,CHOA CHU KANG_0,WOODLANDS_0,7
2016-03-01 05:00:00,CHOA CHU KANG_0,YISHUN_0,3
2016-03-01 05:00:00,CLEMENTI_0,BEDOK_0,1
2016-03-01 05:00:00,CLEMENTI_0,BUKIT MERAH_0,1
2016-03-01 05:00:00,CLEMENTI_0,CHANGI_0,1
2016-03-01 05:00:00,CLEMENTI_0,DOWNTOWN CORE_0,2
2016-03-01 05:00:00,CLEMENTI_0,GEYLANG_0,1
2016-03-01 05:00:00,CLEMENTI_0,JURONG WEST_0,1
2016-03-01 05:00:00,CLEMENTI_0,NOVENA_0,1
2016-03-01 05:00:00,CLEMENTI_0,OUTRAM_0,1
2016-03-01 05:00:00,CLEMENTI_0,PASIR RIS_1,2
2016-03-01 05:00:00,CLEMENTI_0,QUEENSTOWN_0,2
2016-03-01 05:00:00,CLEMENTI_0,TOA PAYOH_0,1
2016-03-01 05:00:00,DOWNTOWN CORE_0,JURONG WEST_0,1
2016-03-01 05:00:00,DOWNTOWN CORE_0,YISHUN_0,1
2016-03-01 05:00:00,GEYLANG_0,ANG MO KIO_0,1
2016-03-01 05:00:00,GEYLANG_0,BISHAN_0,1
2016-03-01 05:00:00,GEYLANG_0,BUKIT TIMAH_0,1
2016-03-01 05:00:00,GEYLANG_0,DOWNTOWN CORE_0,2
2016-03-01 05:00:00,GEYLANG_0,GEYLANG_0,1
2016-03-01 05:00:00,GEYLANG_0,JURONG WEST_0,1
2016-03-01 05:00:00,GEYLANG_0,KALLANG_0,1
2016-03-01 05:00:00,GEYLANG_0,OUTRAM_0,1
2016-03-01 05:00:00,GEYLANG_0,PUNGGOL_0,1
2016-03-01 05:00:00,GEYLANG_0,SEMBAWANG_0,1
2016-03-01 05:00:00,GEYLANG_0,SERANGOON_0,3
2016-03-01 05:00:00,GEYLANG_0,TAMPINES_0,1
2016-03-01 05:00:00,GEYLANG_0,WOODLANDS_0,1
2016-03-01 05:00:00,JURONG EAST_2,ANG MO KIO_0,3
2016-03-01 05:00:00,JURONG EAST_2,BEDOK_0,1
2016-03-01 05:00:00,JURONG EAST_2,BUKIT MERAH_0,1
2016-03-01 05:00:00,JURONG EAST_2,CHANGI_0,1
2016-03-01 05:00:00,JURONG EAST_2,CHOA CHU KANG_0,1
2016-03-01 05:00:00,JURONG EAST_2,CLEMENTI_0,2
2016-03-01 05:00:00,JURONG EAST_2,DOWNTOWN CORE_0,8
2016-03-01 05:00:00,JURONG EAST_2,JURONG EAST_2,1
2016-03-01 05:00:00,JURONG EAST_2,JURONG WEST_0,14
2016-03-01 05:00:00,JURONG EAST_2,KALLANG_0,1
2016-03-01 05:00:00,JURONG EAST_2,NOVENA_0,1
2016-03-01 05:00:00,JURONG EAST_2,ORCHARD_0,2
2016-03-01 05:00:00,JURONG EAST_2,OUTRAM_0,1
2016-03-01 05:00:00,JURONG EAST_2,PIONEER_0,8
2016-03-01 05:00:00,JURONG EAST_2,QUEENSTOWN_0,5
2016-03-01 05:00:00,JURONG EAST_2,SEMBAWANG_0,1
2016-03-01 05:00:00,JURONG EAST_2,SUNGEI KADUT_0,2
2016-03-01 05:00:00,JURONG EAST_2,TOA PAYOH_0,1
2016-03-01 05:00:00,JURONG EAST_2,WOODLANDS_0,2
2016-03-01 05:00:00,JURONG WEST_0,ANG MO KIO_0,3
2016-03-01 05:00:00,JURONG WEST_0,BEDOK_0,4
2016-03-01 05:00:00,JURONG WEST_0,BUKIT BATOK_0,1
2016-03-01 05:00:00,JURONG WEST_0,BUKIT MERAH_0,6
2016-03-01 05:00:00,JURONG WEST_0,BUKIT TIMAH_0,1
2016-03-01 05:00:00,JURONG WEST_0,CHANGI_0,1
2016-03-01 05:00:00,JURONG WEST_0,CHOA CHU KANG_0,2
2016-03-01 05:00:00,JURONG WEST_0,CLEMENTI_0,9
2016-03-01 05:00:00,JURONG WEST_0,DOWNTOWN CORE_0,16
2016-03-01 05:00:00,JURONG WEST_0,GEYLANG_0,6
2016-03-01 05:00:00,JURONG WEST_0,JURONG EAST_2,11
2016-03-01 05:00:00,JURONG WEST_0,JURONG WEST_0,6
2016-03-01 05:00:00,JURONG WEST_0,ORCHARD_0,6
2016-03-01 05:00:00,JURONG WEST_0,OUTRAM_0,4
2016-03-01 05:00:00,JURONG WEST_0,PIONEER_0,26
2016-03-01 05:00:00,JURONG WEST_0,QUEENSTOWN_0,14
2016-03-01 05:00:00,JURONG WEST_0,ROCHOR_0,1
2016-03-01 05:00:00,JURONG WEST_0,SEMBAWANG_0,1
2016-03-01 05:00:00,JURONG WEST_0,SENGKANG_0,1
2016-03-01 05:00:00,JURONG WEST_0,SERANGOON_0,2
2016-03-01 05:00:00,JURONG WEST_0,SINGAPORE RIVER_0,2
2016-03-01 05:00:00,JURONG WEST_0,SUNGEI KADUT_0,2
2016-03-01 05:00:00,JURONG WEST_0,TAMPINES_0,3
2016-03-01 05:00:00,JURONG WEST_0,TOA PAYOH_0,3
2016-03-01 05:00:00,JURONG WEST_0,WOODLANDS_0,2
2016-03-01 05:00:00,JURONG WEST_0,YISHUN_0,2
2016-03-01 05:00:00,KALLANG_0,QUEENSTOWN_0,1
2016-03-01 05:00:00,NOVENA_0,NEWTON_0,1
2016-03-01 05:00:00,PASIR RIS_1,BEDOK_0,1
2016-03-01 05:00:00,PASIR RIS_1,BUKIT MERAH_0,1
2016-03-01 05:00:00,PASIR RIS_1,CHOA CHU KANG_0,1
2016-03-01 05:00:00,PASIR RIS_1,DOWNTOWN CORE_0,6
2016-03-01 05:00:00,PASIR RIS_1,JURONG EAST_2,2
2016-03-01 05:00:00,PASIR RIS_1,JURONG WEST_0,3
2016-03-01 05:00:00,PASIR RIS_1,PIONEER_0,2
2016-03-01 05:00:00,PASIR RIS_1,QUEENSTOWN_0,3
2016-03-01 05:00:00,PASIR RIS_1,SERANGOON_0,1
2016-03-01 05:00:00,PASIR RIS_1,TAMPINES_0,3
2016-03-01 05:00:00,PIONEER_0,BEDOK_0,1
2016-03-01 05:00:00,PIONEER_0,DOWNTOWN CORE_0,1
2016-03-01 05:00:00,PIONEER_0,NOVENA_0,1
2016-03-01 05:00:00,PIONEER_0,QUEENSTOWN_0,1
2016-03-01 05:00:00,PUNGGOL_0,BISHAN_0,1
2016-03-01 05:00:00,PUNGGOL_0,BUKIT PANJANG_0,1
2016-03-01 05:00:00,PUNGGOL_0,CHOA CHU KANG_0,2
2016-03-01 05:00:00,PUNGGOL_0,DOWNTOWN CORE_0,3
2016-03-01 05:00:00,PUNGGOL_0,HOUGANG_0,2
2016-03-01 05:00:00,PUNGGOL_0,JURONG EAST_2,1
2016-03-01 05:00:00,PUNGGOL_0,JURONG WEST_0,2
2016-03-01 05:00:00,PUNGGOL_0,KALLANG_0,2
2016-03-01 05:00:00,PUNGGOL_0,OUTRAM_0,1
2016-03-01 05:00:00,PUNGGOL_0,PUNGGOL_0,3
2016-03-01 05:00:00,PUNGGOL_0,QUEENSTOWN_0,1
2016-03-01 05:00:00,PUNGGOL_0,ROCHOR_0,1
2016-03-01 05:00:00,PUNGGOL_0,SENGKANG_0,1
2016-03-01 05:00:00,PUNGGOL_0,SERANGOON_0,1
2016-03-01 05:00:00,PUNGGOL_0,SINGAPORE RIVER_0,1
2016-03-01 05:00:00,PUNGGOL_0,TOA PAYOH_0,4
2016-03-01 05:00:00,QUEENSTOWN_0,CHANGI_0,2
2016-03-01 05:00:00,QUEENSTOWN_0,DOWNTOWN CORE_0,2
2016-03-01 05:00:00,QUEENSTOWN_0,PASIR RIS_1,1
2016-03-01 05:00:00,QUEENSTOWN_0,SERANGOON_0,1
2016-03-01 05:00:00,QUEENSTOWN_0,YISHUN_0,1
2016-03-01 05:00:00,SEMBAWANG_0,ANG MO KIO_0,2
2016-03-01 05:00:00,SEMBAWANG_0,BEDOK_0,1
2016-03-01 05:00:00,SEMBAWANG_0,BISHAN_0,3
2016-03-01 05:00:00,SEMBAWANG_0,BUKIT BATOK_0,4
2016-03-01 05:00:00,SEMBAWANG_0,BUKIT MERAH_0,1
2016-03-01 05:00:00,SEMBAWANG_0,CHOA CHU KANG_0,2
2016-03-01 05:00:00,SEMBAWANG_0,CLEMENTI_0,1
2016-03-01 05:00:00,SEMBAWANG_0,DOWNTOWN CORE_0,7
2016-03-01 05:00:00,SEMBAWANG_0,GEYLANG_0,1
2016-03-01 05:00:00,SEMBAWANG_0,JURONG EAST_2,5
2016-03-01 05:00:00,SEMBAWANG_0,JURONG WEST_0,4
2016-03-01 05:00:00,SEMBAWANG_0,KALLANG_0,2
2016-03-01 05:00:00,SEMBAWANG_0,MUSEUM_0,1
2016-03-01 05:00:00,SEMBAWANG_0,NEWTON_0,3
2016-03-01 05:00:00,SEMBAWANG_0,NOVENA_0,2
2016-03-01 05:00:00,SEMBAWANG_0,ORCHARD_0,2
2016-03-01 05:00:00,SEMBAWANG_0,OUTRAM_0,1
2016-03-01 05:00:00,SEMBAWANG_0,PIONEER_0,1
2016-03-01 05:00:00,SEMBAWANG_0,QUEENSTOWN_0,3
2016-03-01 05:00:00,SEMBAWANG_0,TAMPINES_0,1
2016-03-01 05:00:00,SEMBAWANG_0,TOA PAYOH_0,5
2016-03-01 05:00:00,SEMBAWANG_0,WOODLANDS_0,5
2016-03-01 05:00:00,SENGKANG_0,BUKIT MERAH_0,1
2016-03-01 05:00:00,SENGKANG_0,CLEMENTI_0,1
2016-03-01 05:00:00,SENGKANG_0,DOWNTOWN CORE_0,6
2016-03-01 05:00:00,SENGKANG_0,GEYLANG_0,3
2016-03-01 05:00:00,SENGKANG_0,HOUGANG_0,1
2016-03-01 05:00:00,SENGKANG_0,JURONG EAST_2,1
2016-03-01 05:00:00,SENGKANG_0,JURONG WEST_0,1
2016-03-01 05:00:00,SENGKANG_0,KALLANG_0,3
2016-03-01 05:00:00,SENGKANG_0,MUSEUM_0,2
2016-03-01 05:00:00,SENGKANG_0,ORCHARD_0,2
2016-03-01 05:00:00,SENGKANG_0,OUTRAM_0,8
2016-03-01 05:00:00,SENGKANG_0,PIONEER_0,1
